draw_size,best_of,rel_match_elo_pre,rel_serve_elo_pre,rel_return_elo_pre,rel_rank_points,rel_age,rel_ht,rel_ace_rate_52w,rel_df_rate_52w,rel_1stIn_pct_52w,rel_1stWon_pct_52w,rel_2ndWon_pct_52w,rel_bp_saved_pct_52w,rel_bp_converted_pct_52w,rel_career_matches,rel_surface_matches,rel_h2h_win_diff,h2h_matches,rel_return_elo_x_clay,rel_serve_elo_x_grass,surface=CLAY,surface=GRASS,surface=HARD,tourney_level=A,tourney_level=C,tourney_level=D,tourney_level=F,tourney_level=G,tourney_level=M,tourney_level=O,round=0,round=1,round=2,round=3,round=4,round=5,round=6,round=7,target
32.0,3,7.499481952992028,3.925085879966673,-2.551281096342336,375.0,1.2000000000000028,-5.0,-0.009775894634744,-0.0048798258763034,0.0458031873175575,-0.0194888417203471,0.0081163954943678,0.0183363148479427,0.0045919260913349,25.0,11.0,0,0,-0.0,0.0,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1
32.0,3,-12.001388705252792,-12.39743245325576,1.2660795527674509,198.0,2.900000000000002,5.0,0.0080383295599121,0.0037122537723873,0.0684699930449616,-0.0375191709243469,-0.0028015519799156,0.008701907915484,-0.0221179522392614,-13.0,-12.0,0,0,0.0,-0.0,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1
32.0,3,59.155897278356406,3.212718518010888,2.353493309704845,-3409.0,-5.0,8.0,0.0134574608537264,-0.0088932211114272,0.0133471242978712,0.0160469315985678,-0.0144725510071871,-0.0274300441826215,0.0108564663100699,-33.0,-14.0,0,0,0.0,0.0,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0
32.0,3,-2.552126043892713,6.479522301746556,2.9131751011450437,-455.0,7.5,-5.0,-0.0009397068544986,-0.0170412819986778,0.056708381773006,-0.01106387365526,0.0188044902843466,0.0316960554396955,-0.0199315859544476,-16.0,-10.0,0,0,0.0,0.0,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0
32.0,3,17.100637066446097,4.2998424336879,4.950516706008557,-214.0,11.2,5.0,0.0422369215786795,2.433573624607832e-05,0.0367495882757927,0.0196901469802938,0.0105699871997591,0.0091174561972744,-0.0109067777006708,-27.0,-16.0,0,0,0.0,0.0,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,1
32.0,3,-81.25135457252645,1.8016339451774,-6.788429218908959,-28.0,-6.399999999999999,0.0,-0.0024030954367611,0.0038324607665241,-0.0009869427276933,-0.0095596924752029,-0.0352255050427008,-0.0107825700311249,0.0334041715859897,24.0,2.0,0,0,-0.0,0.0,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,1
32.0,3,36.110878880475184,-21.85430602125712,20.949520455341823,11.0,-4.699999999999999,-3.0,-0.0651470202417711,0.0012133962987628,0.0223803085036966,-0.0583249566724436,0.003439602590706,-0.0067065930768126,0.0221210105014781,-17.0,-18.0,1,1,0.0,-0.0,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,1
32.0,3,71.86806186030162,7.203846138829022,3.8927338706396313,77.0,1.8999999999999984,8.0,0.0041761050739683,-0.0189863299835469,0.0129955537027055,0.013655067711105,0.0098557225732709,0.0278166111051367,0.0445298687579321,1.0,2.0,0,0,0.0,0.0,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,1
32.0,3,128.19955105092686,13.65367960375238,12.203152855885492,40.0,0.5,10.0,0.0358985889024983,0.0067101797010016,-0.0366301448010872,0.0662269078933018,-0.0257861886717258,-0.001483756318904,0.006370426863462,-3.0,11.0,0,0,0.0,0.0,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,1
32.0,3,0.3764867046506879,18.31515551009761,-14.659669450719775,522.0,-9.7,21.0,0.0223812387251954,-0.0069272399278412,-0.0054479855682501,0.0049544626593807,-0.0088888888888888,0.0137579617834394,0.0137931034482757,18.0,8.0,0,0,-0.0,0.0,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,1
32.0,3,61.28025370834917,30.917981487541283,-18.417085611055427,549.0,-0.1000000000000014,3.0,0.0503793517258854,-0.0134629647467912,0.004263999760844,0.0418765456558072,0.0225522813688213,-0.0114228251771832,-0.0118849947066362,50.0,29.0,0,0,-0.0,0.0,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,1
